title,min_b2b,max_b2b,min_uop,max_uop,location_code,experience_code,operating_mode_code,AWS,Angular,Azure,C#,C++,CSS,Django,Docker/Kubernetes,FastAPI,Flask,Git,Go,GraphQL,HTML,IOS,JIRA,Java,JavaScript,Jenkins,Linux,NoSQL,PHP,Python,RESTAPI,React,Ruby,SQL,Scala,Spring,Terraform,TypeScript,Vue.js,Windows,android
Mid Full Stack Developer (Node.js & React) 🐤,13000,18000,10800,14900,55,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
Mid Full Stack Developer (Node.js & React) 🐤,13000,18000,10800,14900,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
Mid Full Stack Developer (Node.js & React) 🐤,13000,18000,10800,14900,13,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
Fullstack Developer (Node.js+React.js),11400,22700,9400,18700,60,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Fullstack Developer (Node.js+React.js),11400,22700,9400,18700,38,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Fullstack Developer (Node.js+React.js),11400,22700,9400,18700,17,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Fullstack Developer (Node.js+React.js),11400,22700,9400,18700,51,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Fullstack Developer (Node.js+React.js),11400,22700,9400,18700,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Fullstack Developer (Node.js+React.js),11400,22700,9400,18700,55,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Senior Fullstack .NET Developer,0,0,22000,30000,51,2,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Senior .NET Fullstack Developer (Angular),22000,27000,0,0,60,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Senior .NET Fullstack Developer (Angular),22000,27000,0,0,38,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Senior .NET Fullstack Developer (Angular),22000,27000,0,0,17,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Senior .NET Fullstack Developer (Angular),22000,27000,0,0,51,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Senior .NET Fullstack Developer (Angular),22000,27000,0,0,7,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
